City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
128,fale old settlement,-9.3852,-171.2468,29.35,76,66,3.78,TK,1714947506
129,tarauaca,-8.1614,-70.7656,25.67,95,90,0.93,BR,1714947506
130,fisterra,42.9049,-9.2629,11.53,76,5,3.32,ES,1714947507
131,yanam,16.7333,82.2167,26.55,99,31,1.3,IN,1714947507
132,kodiak,57.79,-152.4072,6.73,76,75,4.63,US,1714947507
133,barbezieux-saint-hilaire,45.4726,-0.1522,14.15,96,100,3.33,FR,1714947507
134,vikhorevka,56.1201,101.1636,11.77,73,99,2.2,RU,1714947507
135,dawesville,30.9224,-84.0091,31.31,52,40,2.24,US,1714947508
136,la passe,45.5549,-0.8967,14.13,81,100,4.68,FR,1714947508
137,aykhal,66.0,111.5,-7.1,94,55,2.72,RU,1714947508
138,ribadeo,43.5325,-7.0991,6.67,98,11,1.78,ES,1714947508
139,cabedelo,-6.9811,-34.8339,27.37,83,78,7.6,BR,1714947508
140,la chamba,45.7556,3.7573,9.66,98,100,2.13,FR,1714947509
141,kingston,17.997,-76.7936,27.87,71,1,1.76,JM,1714947509
142,sinabang,2.4803,96.3801,26.88,87,91,0.45,ID,1714947509
143,college,64.8569,-147.8028,14.99,41,75,4.63,US,1714947509
144,aasiaat,68.7098,-52.8699,-9.23,85,62,2.72,GL,1714947510
145,bani walid,31.7566,13.9942,18.33,43,2,3.13,LY,1714947510
146,susuman,62.7833,148.1667,-2.79,86,94,0.89,RU,1714947510
147,inyonga,-6.7167,32.0667,16.45,97,100,1.76,TZ,1714947510
148,yingkou,40.6648,122.2283,14.06,77,100,7.81,CN,1714947510
149,vilyuchinsk,52.9306,158.4028,5.15,70,59,0.43,RU,1714947511
150,belfast,54.5833,-5.9333,11.9,95,100,0.51,GB,1714947511
151,sao paulo de olivenca,-3.3783,-68.8725,26.16,95,100,1.1,BR,1714947511
152,salekhard,66.53,66.6019,-14.78,91,57,2.68,RU,1714947511
153,puerto baquerizo moreno,-0.9,-89.6,28.55,70,20,4.12,EC,1714947511
154,acajutla,13.5928,-89.8275,30.67,65,65,3.26,SV,1714947459
155,tommot,58.9564,126.2925,2.38,88,61,0.75,RU,1714947512
156,heroica guaymas,27.9333,-110.9,27.65,32,0,6.17,MX,1714947255
157,georgetown,5.4112,100.3354,27.96,89,20,1.03,MY,1714947512
158,cozumel,20.5083,-86.9458,31.04,70,40,3.09,MX,1714947474
159,ola,59.5833,151.2833,0.08,83,23,1.42,RU,1714947512
160,lagoa,39.05,-27.9833,17.2,89,100,9.44,PT,1714947512
161,ilulissat,69.2167,-51.1,-5.99,86,100,3.09,GL,1714947513
162,graaff-reinet,-32.2522,24.5308,20.79,29,5,4.25,ZA,1714947513
163,twon-brass,4.3151,6.2418,29.09,77,57,3.58,NG,1714947513
164,thompson,55.7435,-97.8558,5.24,84,100,1.79,CA,1714947513
165,vysokovsk,56.3167,36.55,-0.36,91,10,2.14,RU,1714947514
166,mili,6.0815,171.735,28.28,81,78,8.37,MH,1714947514
167,karwar,14.8,74.1333,27.61,82,46,2.6,IN,1714947514
168,amga,60.8953,131.9608,5.59,73,7,1.8,RU,1714947514
169,kununurra,-15.7667,128.7333,23.99,50,21,3.6,AU,1714947514
170,nianzishan,47.5167,122.8833,9.28,43,100,3.75,CN,1714947515
171,pisco,-13.7,-76.2167,20.03,83,20,2.57,PE,1714947403
172,eagle pass,28.7091,-100.4995,28.47,71,75,4.27,US,1714947270
173,hirara,24.8,125.2833,26.74,86,76,5.95,JP,1714947515
174,kiunga,-6.1219,141.2906,23.6,100,100,0.32,PG,1714947515
175,illizi,26.4833,8.4667,27.89,46,99,9.82,DZ,1714947515
176,kudahuvadhoo,2.6708,72.8944,29.45,75,100,5.67,MV,1714947516
177,salacgriva,57.7536,24.3581,8.24,65,98,5.12,LV,1714947516
178,kulhudhuffushi,6.6221,73.07,29.57,77,48,5.37,MV,1714947516
179,olonkinbyen,70.9221,-8.7187,0.84,93,100,11.62,SJ,1714947516
180,portage la prairie,49.9728,-98.2926,18.39,32,57,4.61,CA,1714947516
181,san luis de la loma,17.2706,-100.8939,30.04,55,63,3.08,MX,1714947517
182,bende,5.5572,7.6368,25.38,91,100,1.78,NG,1714947517
183,hawaiian paradise park,19.5933,-154.9731,24.85,81,75,5.14,US,1714947517
184,east london,-33.0153,27.9116,19.33,63,5,2.53,ZA,1714947517
185,esteli,13.0919,-86.3538,31.63,38,29,2.75,NI,1714947517
186,nuuk,64.1835,-51.7216,-2.66,59,3,6.17,GL,1714947518
187,endasak,-4.4167,35.5167,16.84,98,100,1.27,TZ,1714947518
188,sasolburg,-26.8136,27.817,14.32,34,1,1.1,ZA,1714947518
189,uturoa,-16.7333,-151.4333,28.15,76,60,8.64,PF,1714947518
190,port shepstone,-30.7414,30.455,20.62,86,1,3.47,ZA,1714947518
191,touros,-5.1989,-35.4608,26.61,84,14,5.84,BR,1714947519
192,haiku-pauwela,20.9219,-156.3051,26.01,68,40,9.26,US,1714947519
193,shalkar,47.8288,59.6258,11.5,35,100,6.5,KZ,1714947519
194,qaqortoq,60.7167,-46.0333,0.28,66,0,0.64,GL,1714947519
195,borzya,50.3833,116.5167,11.02,37,100,1.67,RU,1714947519
196,st. john's,47.5649,-52.7093,4.53,82,30,0.89,CA,1714947520
197,vila franca do campo,37.7167,-25.4333,18.27,99,100,1.64,PT,1714947520
198,zabaykal'sk,49.6333,117.3167,9.61,39,99,1.69,RU,1714947520
199,podporozh'ye,60.9112,34.1706,-3.09,85,23,1.73,RU,1714947520
200,yorkton,51.2167,-102.4677,15.69,38,98,5.77,CA,1714947301
201,keflavik,64.0049,-22.5624,4.95,87,75,9.77,IS,1714947520
202,batabano,22.7164,-82.2881,30.96,60,12,2.17,CU,1714947521
203,hamilton,39.1834,-84.5333,26.35,60,0,4.47,US,1714947521
204,mogocha,53.7333,119.7667,8.1,44,100,0.5,RU,1714947521
205,pangai,-19.8,-174.35,26.75,85,99,4.55,TO,1714947521
206,anadyr,64.75,177.4833,-4.72,68,20,2.0,RU,1714947522
207,novoishimskiy,53.1981,66.7694,2.6,60,6,3.15,KZ,1714947522
208,miranda,3.2499,-76.2281,26.07,86,99,0.84,CO,1714947522
209,launceston,-41.45,147.1667,8.8,71,100,4.12,AU,1714947374
210,yeppoon,-23.1333,150.7333,20.14,83,89,4.64,AU,1714947522
211,ta`u,-14.2336,-169.5144,28.56,78,96,4.81,AS,1714947523
212,chonchi,-42.6128,-73.8092,5.62,94,98,2.01,CL,1714947523
213,vimmerby,57.6659,15.8552,8.16,87,99,2.42,SE,1714947523
214,nova sintra,14.8667,-24.7167,23.94,79,0,2.88,CV,1714947523
215,alappuzha,9.49,76.3264,28.94,78,100,3.19,IN,1714947523
216,rochester,43.1548,-77.6156,19.75,80,100,3.09,US,1714947226
217,waingapu,-9.6567,120.2641,24.36,84,30,2.55,ID,1714947524
218,takum,7.2667,9.9833,23.63,93,100,1.68,NG,1714947524
219,sao joao da barra,-21.6403,-41.0511,25.13,86,0,5.29,BR,1714947524
220,watampone,-4.5386,120.3279,23.08,97,100,1.06,ID,1714947524
221,lodwar,3.1191,35.5973,27.65,65,35,1.73,KE,1714947524
222,san ildefonso,15.0809,120.941,29.43,83,84,1.97,PH,1714947525
223,pokhara,28.2333,83.9833,21.15,26,4,2.79,NP,1714947303
224,hasaki,35.7333,140.8333,20.16,73,95,10.05,JP,1714947525
225,thal,35.4791,72.2439,6.48,70,12,3.29,PK,1714947525
226,murghob,38.1702,73.9667,-2.87,75,45,3.24,TJ,1714947525
227,lihue,21.9789,-159.3672,27.58,68,75,8.23,US,1714947526
228,sona,45.4388,10.8255,16.51,74,0,1.03,IT,1714947526
229,boguchany,58.3814,97.4531,11.03,76,100,4.02,RU,1714947526
230,lompoc,34.6391,-120.4579,21.12,62,0,10.29,US,1714947526
231,sungai penuh,-2.0833,101.3833,19.04,95,58,1.55,ID,1714947526
232,hadibu,12.65,54.0333,29.47,79,17,1.05,YE,1714947527
233,san julian,21.0167,-102.1667,32.9,10,96,6.64,MX,1714947527
234,meridian,43.6121,-116.3915,13.46,51,40,2.06,US,1714947298
235,el bolson,-41.9667,-71.5167,2.63,98,100,2.29,AR,1714947527
236,vilyuysk,63.7553,121.6247,2.78,85,100,4.47,RU,1714947527
237,iskateley,67.6803,53.1512,-7.21,88,90,1.79,RU,1714947528
